# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-9.774922728538513184e-01 1.229623518884181976e-02 1.279089879244565964e-02 1.187306549400091171e-02 9.495245933532714844e+00 -2.492544986307621002e-02 -9.270294685848057270e-05 -1.967835053801536560e-02 -5.440830253064632416e-03 -5.103319417685270309e-03 -3.437347477301955223e-03 8.668076246976852417e-03 1.829480379819869995e-02 -1.992419827729463577e-03 -5.872005931450985372e-05 -1.992419827729463577e-03 1.417754800058901310e-03 2.249812132504303008e-05 -5.872005931450985372e-05 2.249812132504303008e-05 4.879912827163934708e-03
-9.761730432510375977e-01 1.217962987720966339e-02 1.225017383694648743e-02 1.066191121935844421e-02 8.585268974304199219e+00 -2.169378288090229034e-02 -7.047312101349234581e-04 -1.764258183538913727e-02 -5.750497803092002869e-03 -5.807088222354650497e-03 5.061272066086530685e-03 8.191695436835289001e-03 1.787827722728252411e-02 -2.028065035119652748e-03 -5.705072908313013613e-05 -2.028065035119652748e-03 1.521587604656815529e-03 2.034725184785202146e-05 -5.705072908313013613e-05 2.034725184785202146e-05 4.959394689649343491e-03
-9.748167395591735840e-01 1.205429900437593460e-02 1.115304511040449142e-02 9.517829865217208862e-03 7.058489799499511719e+00 -1.498764194548130035e-02 -1.760303508490324020e-03 -1.285305526107549667e-02 -4.780205897986888885e-03 -5.384302232414484024e-03 1.413328759372234344e-02 4.066665191203355789e-03 1.745353266596794128e-02 -2.059483435004949570e-03 -5.528940164367668331e-05 -2.059483435004949570e-03 1.623843680135905743e-03 1.771864117472432554e-05 -5.528940164367668331e-05 1.771864117472432554e-05 5.031222943216562271e-03
-9.734235405921936035e-01 1.192132011055946350e-02 1.115304511040449142e-02 9.517829865217208862e-03 7.058489799499511719e+00 -1.498764194548130035e-02 -1.760303508490324020e-03 -1.285305526107549667e-02 -4.780205897986888885e-03 -5.384302232414484024e-03 1.413328759372234344e-02 4.066665191203355789e-03 1.702400855720043182e-02 -2.087657805532217026e-03 -5.182029417483136058e-05 -2.087657805532217026e-03 1.723698922432959080e-03 1.527680251456331462e-05 -5.182029417483136058e-05 1.527680251456331462e-05 5.094932392239570618e-03
-9.719933867454528809e-01 1.178189646452665329e-02 1.063145697116851807e-02 8.945078589022159576e-03 6.421232700347900391e+00 -1.183833833783864975e-02 -2.099137520417571068e-03 -1.033342909067869186e-02 -4.175987094640731812e-03 -4.536524415016174316e-03 1.714598573744297028e-02 1.390562392771244049e-03 1.659386046230792999e-02 -2.112911315634846687e-03 -4.565936251310631633e-05 -2.112911315634846687e-03 1.820331555791199207e-03 1.355898075416916981e-05 -4.565936251310631633e-05 1.355898075416916981e-05 5.149601027369499207e-03
-9.705263376235961914e-01 1.163833215832710266e-02 1.015418488532304764e-02 7.695300038903951645e-03 5.860505580902099609e+00 -7.782773580402135849e-03 -2.437521005049347878e-03 -6.933910306543111801e-03 -3.653938649222254753e-03 -3.567000851035118103e-03 2.008682675659656525e-02 -1.412522862665355206e-03 1.616928540170192719e-02 -2.135107759386301041e-03 -3.675590414786711335e-05 -2.135107759386301041e-03 1.912923413328826427e-03 1.268854884983738884e-05 -3.675590414786711335e-05 1.268854884983738884e-05 5.194455385208129883e-03
-9.690225124359130859e-01 1.149340905249118805e-02 9.712149389088153839e-03 5.547961220145225525e-03 5.370319843292236328e+00 -2.398130949586629868e-03 -2.889290219172835350e-03 -2.241041976958513260e-03 -3.131130943074822426e-03 -2.629988826811313629e-03 2.203428745269775391e-02 -4.236534703522920609e-03 1.575632765889167786e-02 -2.154122572392225266e-03 -2.592308374005369842e-05 -2.154122572392225266e-03 2.000736771151423454e-03 1.240037363459123299e-05 -2.592308374005369842e-05 1.240037363459123299e-05 5.229754839092493057e-03
-9.674819111824035645e-01 1.135011762380599976e-02 9.293206967413425446e-03 2.790370257571339607e-03 4.940833091735839844e+00 3.476527985185384750e-03 -3.451101714745163918e-03 3.042983356863260269e-03 -2.687051892280578613e-03 -1.833443646319210529e-03 2.301391400396823883e-02 -6.791471969336271286e-03 1.535927411168813705e-02 -2.170124556869268417e-03 -1.509708636149298400e-05 -2.170124556869268417e-03 2.083358820527791977e-03 1.221573165821610019e-05 -1.509708636149298400e-05 1.221573165821610019e-05 5.257602781057357788e-03
-9.659045934677124023e-01 1.121093705296516418e-02 8.487137034535408020e-03 -2.255761064589023590e-03 4.219027042388916016e+00 1.212821993976831436e-02 -4.574772436171770096e-03 1.052573043853044510e-02 -3.078110748901963234e-03 -9.801363339647650719e-04 2.710846625268459320e-02 -9.865504689514636993e-03 1.498020812869071960e-02 -2.183505799621343613e-03 -5.898447852814570069e-06 -2.183505799621343613e-03 2.160890260711312294e-03 1.167488971987040713e-05 -5.898447852814570069e-06 1.167488971987040713e-05 5.280776415020227432e-03
-9.642906785011291504e-01 1.107709109783172607e-02 8.487137034535408020e-03 -2.255761064589023590e-03 4.219027042388916016e+00 1.212821993976831436e-02 -4.574772436171770096e-03 1.052573043853044510e-02 -3.078110748901963234e-03 -9.801363339647650719e-04 2.710846625268459320e-02 -9.865504689514636993e-03 1.461949944496154785e-02 -2.194656059145927429e-03 1.538164610792591702e-06 -2.194656059145927429e-03 2.233827020972967148e-03 1.063492527464404702e-05 1.538164610792591702e-06 1.063492527464404702e-05 5.300854798406362534e-03
